lang,source,translation
xas,"""šĭšəge tănan?"" ","""холодно тебе?"""
kjh,максим палыч учитель полған.,максим павлович учителем был.
xas,nada ipek enzittə ((na -)). ,надо хлеб положить.
xas,i bar saʔməluʔləʔjə. ,и танцуют.
xas,"dĭgəttə amnobiʔi, ambiʔi. ","потом он сели, поели."
kjh,"іӌем «чох» тіпче, «килбеен» тіпче.","мама моя: «нет» говорит, «не пришла» говорит."
kjh,"чарба ӱгре ле чіп, ӧскебіс. я.","суп с крупой только ели, росли. да."
kjh,«тыннарың на чӧрче» тіпче. «пір ахчаларың даа чоғыл» тіпче.,"«душа ваша только ходит», говорит. «ни одной копейки у вас нет», говорит."
xas,măndə dĭʔnə: ,говорит ей:
bak,"tämäkelär inde, sigaret.","табак, сигареты."
bak,"šunəɣa kil... ularɣa kilä torɣandar ine, ul bəlar tuɣandar bulɣas šul.","туда прихо.. к ним они приходили, потому что они родственниками были."
evn,и улдэӈилван дёвулдедем.,"и мясо, принадлежащее ему, стану перевозить."
evn,«синдӯ окин аңанӣс бичэн?»,«тебе сколько лет было?»
kjh,"[mdc1963f] а улуғ оолғы апарар итпинче, я?",
xas,urgaːba ej mobi sürerzittə. ,медведь не смог выгнать.
mhr,"шӱкшӱ пӧртыштыжӧ рывыж илат, манеш.","в старом доме лисы живут, говорят."
xas,"jah, пожалуйста, дальше. ","да, пожалуйста дальше. "
xas,namzəga süt amaʔ! ,сладкое молоко ешь!
mhr,"но киндым шеледен пуа ыле,","хлеб делил и раздавал нам,"
xas,"nu nada (g-) ara bĭʔsʼittə dak, ej dʼabroʔ. ","ну если надо водку пить, то не дерись."
xas,dĭ köbergən. ,это лук.
xas,dĭgəttə karəldʼan lisitsa dĭʔnə kambi. ,потом на другой день лисица к нему приходит.
mhr,[2] вот мыйын шинчамжат плёнко вошт ужмо гай вел ужеш.,[2] мои глаза-то как сквозь плёнку видят.
xas,a bostə koʔbdobə uge ajirlaʔbə. ,а свою дочь всегда жалеет.
kjh,[lmp1941f] ага.,а о матери с отцом еще что-то рассказать смогли бы?
bak,"и я положила... məna bašəmdan uq tege на плечи bašəm haldəm =da, šunan начала засыпать.",и я положила... вот головой... совсем ему на плечи голову положила и потом начала засыпать.
kjh,[lat1978f] оолағас.,[lat1978f] мальчик.
kjh,ол абаға оой нимес тутырып аларға.,этому медведю не легко попасться.
xas,nʼibə öʔlubi. ,сына своего послал.
xas,"dĭ šojdʼom, dĭ bar mĭnzərleʔbə, iʔgö mĭnzərbi. ","этот туес, он варит, много наварил."
xas,dĭ bar măna perluʔpi bar. ,она мне показала.
mhr,"павыл,","павел,"
xas,dĭgəttə măn davaj nüjnə (nüjzit-) nüjzittə. ,потом я стала песню/песни петь.
mhr,"[1] так,","[1] так,"
mhr,"«ковай, ит ыштыкте, ыштыктет гын, ала сокыр лият, ала мо.","«бабушка, не делай операцию, если сделаешь, можешь ослепнуть."
mhr,[2] а гы=~,[2] а~
mhr,"[1] телевизор когда купили, телевизор?","[1] телевизор когда купили, телевизор?"
kjh,"ағбан суғ, суғдаң индіріп, хазах чоны хаңза пигді… анда пооп ӧдіртірлер хаңза пигді.","спустили в реку абакан русские ханза пига и там, задушив, убили."
xas,"kandəga, dĭgəttə kuza dĭʔnə măndə:"" gibər kandəgal?"" ","идет, [другой] человек у него спрашивает: ""куда ты идешь?"""
evn,орон эвэнкӣдӯ элэдэ hэгди бэлэго.,олень для эвенка все-таки большой помощник.
kjh,"ну, серёжаға пір дее име полбаан.","ну, серёже ничего не было."
bak,bala kürnise tip.,"""курнис ребенка""."
kjh,"наличник адалӌаңнар, анаң колхозха кирче.","единоличниками назывались, потом в колхоз устраивают."
kjh,[evs1979f] мында…,[evs1979f] здесь…
evn,"тадук hурусёлон, тарэ умукон эмэсён.","потом, когда он ушел (уволился), тот один пришел."
kjh,"[mvk1924f] я, от кӧйче, турун сал салчазың піди ікі чахтап.",
mhr,тушто солдат-шамыч пешак улыт шукын.,там солдатов много было.
mhr,[15] квартир ыле.,[15] квартира была.
evn,****,****
xas,multuk ambiʔi bar. ,ружье положили.
mhr,у его... это.,у него... это.
kjh,"э-э, хайди адалча ол?","э-э, как называется она (болезнь)?"
kjh,[tna1930f] м-м.,[tna1930f] м-м.
xas,dĭgəttə dĭ iluʔpi. ,потом он взял [колосья].
kjh,анаң каргунмаң тамах тартарға.,потом фургоном зерно возим.
kjh,а ойсып аӌа айланған раненый.,а дядя иосиф вернулся раненый.
bak,"sönki apajðarəm aɣajðarəm ikense qalalarða jäšäjðär, ular qajtalar, ularðəŋ balalarə bašqortsa belmäj.","потому что мои братья и сестры живут в других городах, они приезжают, их дети не знают по-башкирски."
xas,dĭgəttə kĭrbi kuba sĭri pagən. ,потом [кот?] содрал кору с берёзы.
evn,"илан аңанӣсил бинэл, куңакар асир о̄ңкӣтин, улгучонмочилчол би... бинэл.
				","будучи трехлетними, начав разговаривать, дети умирали."
xas,"nʼi šobi, nezi. ",сын пришел с женой.
evn,"ага, ну боло-тэ, ӈинакирди.","ага, ну осенью-то, с собаками."
xas,"""nu, (m- m-) măn ilem kareški, a (tăn=) tănan molam verški"". ","«ну [ладно], я возьму корешки, а тебе могу [отдать] вершки»."
mhr,они лучше жили.,они лучше жили.
bak,məna malaj joqlap tik jatqan.,вот мальчик так и спал.
xas,"dĭ măndə:"" dăre iʔ mănaʔ! ","[жена] говорит: ""не говори так!"
xas,tumo unnʼa (amno-) maluʔpi. ,мышь одна осталась.
bak,ul awəldə... nigeð haləwsəhə bulɣan.,он был основателем деревни.
kjh,"кӱн сыхса, парарзың тоғынарға.","когда солнце выйдет, пойдёшь на работу."
kjh,"ой-ой-ой, андағ чи, андағ чи полча кізі.","ой-ой-ой, так-то, так-то бывает человек."
evn,"би гунилим аматкӣ: «бӯнӣдерэ, ӈэ̄лэвсы», — гунилим.","я стала говорить деду: «воют, страшно», — стала говорить."
kjh,[evs1979f] пілчезер?,[evs1979f] знаете?
kjh,[kau1916f] а? чарба ӱрӱге.,[kau1916f] а? суп с крупой.
xas,"dĭgəttə măndoliaʔi aspaʔən, (gittə-) girgitdə kuza amnolaʔbə. ",они увидели: в котле сидит какой-то человек.
bak,"ular диетический, без ничего, ular tege шишка =ɣəna ašap jörögän nämälär, qaraɣaj täme =genä səɣəp tora, ularðəŋ itenän, очень полезное, между прочим.","они диетические, без ничего, они только шишками всякими питаются, именно сосновый привкус исходит от их мяса, очень полезное, между прочим."
mhr,"туш шуынам, да вет имне как тореш тӧрштен да,","до того места доехала, лошадь как прыгнула и"
xas,mo dereʔ? ,почему (?).
bak,"šunan qaraham, fortočka bikle.","потом смотрю, форточка закрыта."
xas,"dĭgəttə esseŋ kambiʔi: ""šoʔ, uja mĭnzərlona!"" ","тогда дети пошли: ""приходи, мясо готово!"""
kjh,анаң <?> килер килбинохча.,потом тоже приезжать не приезжает (?).
kjh,"ол мылтыхмаң чӧрче, чӧрче, а мин майың тудыстығ полғам, тігі.","он с ружьём ходит, ходит, а я медлительная была, это."
xas,ĭmbidə togonorzittə nʼelʼzja. ,ничего работать нельзя.
bak,"irenä äjtte inde ''bəna šundaj xatən, женщина'', tej inde, ''nimäkäj mašinahə biklände, nimä ešlärgä käräk?''.","она сказала мужу: ""здесь женщина вот, и у нее машина закрылась. что делать?"""
mhr,муралте-муралте.,"спой, спой."
kjh,"и так и, ниме, федора андреевназа пар килерге сағынчам, парзох, хон... хона парчам мин андары, чоохтазып.","и так и, это, к федоре андреевне съездить хочу, когда еду, с ночёвкой еду я туда, поговорить."
kjh,[iec1946m] хырых алты.,[iec1946m] сорок шестого.
mhr,тояшет да мо да мый миен омыл вара.,хоронить я не ходила.
xas,dĭgəttə parluʔpibaʔ (bazoʔ) (s-) döbər zaozʼorkanə. ,"потом мы вернулись туда, в заозерный."
xas,"dĭgəttə (bos- bos-) bostəbə kutlambi, i kulambi. ",потом [выстрелил] в себя и умер.
bak,потом nejðä qajnatahəŋ.,потом в этом кипятишь.
kjh,[evs1979f] тадар тілінең хайди адалча олар?,[evs1979f] на хакасском языке как они называются?
kjh,"[smm1950f] а, мындағ <?> ахча <ыспассым>.","[smm1950f] а, <?>, деньги не буду отправлять."
xas,kola (u-) iʔgö dʼaʔpi. ,рыбы много поймал.
kjh,[evs1979f] а пілбинчем.,[evs1979f] а я не знаю.
xas,(onʼiʔ=) onʼiʔ raz miʔ ipek toʔnarbibaʔ mašinaʔizi. ,один раз мы хлеб молотили машиной.
evn,киӈгит hутэлин-то̄ тар ёнмасилчал.,дети-то кингита очень испугались.
xas,"tenöbiam, tenöbiam, kăde döber šozittə. ","я думала-думала, как сюда прийти."
kjh,"ниме, чаблах хурғатхам.","это, картошку сушила."
evn,****,****
bak,"awərəw bulərɣa teješ tügel, satan bulərɣa teješ bulərɣa tügel, huqər bulərɣa teješ tügel, tap-taða bulərɣa teješ.","не должен быть больным, не должен быть хромым, не слепой, совершенно чистый должен быть."
mhr,тиде эрдене,в это утро
xas,măn ibiem da turanə deʔpiem. ,я (взяла?) и принесла домой.
evn,"аха уркэватын аӈамда̄, перчаткэлвэ ичэм, туг харбалдэдерэ.","ага, их дверь я открыла и перчатки увидела, вот так ???растопыриваются???"
kjh,[evs1979f] минің бабушкам тоже мындағ улуғ песте итчең халас.,[evs1979f] моя бабушка тоже в такой большой печке хлеб делала.
kjh,"э-э, ферма… пе... печа… хайди адалча?","э-э, ферма… печа… как называется?"
xas,"măn tibi kalladʼürbi, măn ugandə tăŋ dʼorbiam. ","[когда] мой муж ушел, я очень плакала."
mhr,почиҥгаланат каяш тӧчышна.,попытались уехать на выселки.
xas,(mă-) iʔ măna! ,"""возьми меня [с собой]!"""
kjh,"а очы оолғы, э, рома, москвада полған, анда телеграмма пирібіскен.","а младший сын рома, в москве был, туда телеграмму дали."
evn,таргит эмэчол бичо̄тын тоже.,оттуда тоже они приехали.
kjh,"и, ниме, знаешь нойма, чыланнығда, ниме, чаа сооның матап мағат чииттер полған.","и, это, знаешь что, в чиланах, это, после войны очень хорошая молодежь была."
kjh,индығ хоных хонӌаңнар.,так женились.
mhr,"[15] кадрильым йӧсӧ огыл тудым, лиеш.","[15] кадриль нетрудно, её можно."
xas,"suraraʔ, a măn nörbəlem tănan. ","спроси, а я скажу тебе."
bak,anəhə šulaj bula... все.,"вот, так и бывает... все."
kjh,суббота хараа пір час тустарында ӱреп парған ол.,в субботу ночью окола часа умерла она.
mhr,"вольыклан пукшаш уке ыле, пареҥге уке, нӱженна ыле.",скотину кормить не было картошки.
evn,"о̄кир би тэпкэлим-дэ̄, тадук тарил hимӯргара [расшифровкадӯ нуӈан гунэн: hимӯла о̄дан].","когда я крикнула, все затихло [при расшифровке добавлено: тихо стало]."
kjh,[egs1982f] пу чылда...,[egs1982f] в этом году…
evn,тугдо̄ би дюло̄скӣ hуктывуhинэм.,так-то я вперед поскакала.
xas,dĭzeŋ mănliaʔi: tüžöj surdəsʼtə mĭmbibeʔ. ,они говорят: мы ходили доить коров.
kjh,[erk1927f] вообще москванаң ма?,[erk1927f] вообще из москвы?
xas,"šobi, šobi. ","шел, шел."
kjh,"іди полғабыс, іди полӌабыс.","так мы были, так были."
mhr,весым колтенут ту имне ден.,другого отправили на той лошади.
xas,"dĭ mănde: ""kanžəbəj, măn dĭm sürerlʼim"". ","она [=лиса] говорит: «пойдём, я его выгоню»."
kjh,"ну, анда пілбинчем анаң.","ну, там не знаю потом."
xas,"šobi, onʼiʔ kostăčkaʔi iʔbəlaʔbəʔjə. ","пришёл, одни косточки лежат."
xas,"dĭgəttə dĭ kambi, kluboktə baruʔpi. ","потом она пошла, бросила клубок."
kjh,"ханӌа очки име иткем, чарабинча.","сколько очков делала, не подходят."
kjh,"медальларым пар еще, ударнай книжкам пар, аны суурарзар.","медали еще есть, ударная книжка есть, ее будете фотографировать."
kjh,суғдаң даа хорыхпинчаттыр.,воды даже не боится.
xas,i stalʼi amnozittə. ,и он стали жить.
evn,прямо думала: бэее этэм бакара.,прямо думала: мужчину не найду.
bak,"nimä, azamat, samat, harəɣəŋ bulmanəmə?","что, азамат, самат, овцы не было?"
kjh,[vrk1929f] ис полбинчам.,[vrk1929f] не могу услышать.
mhr,куш= кутырен келшышна,договорились
kjh,"пулардаң сураза, пазох хайди олардаң сурынарым?» тіп.","у этих если проситься, снова как у них буду проситься?»."
bak,"eškä səɣa torɣajnəq, qəðəɣəp, aqsa birälär aj hajən.","выходили на работу, с интересом, деньги платили каждый месяц."
bak,"ul öjgä inep kitte =lä qəsqərəp kilep səqtə, прям qəjən buldə inde.","она зашла домой и выбежала с криками, прям тяжело было [смотреть]..."
kjh,ол хайнаң піл… пілем мин?,откуда я знала бы это?
mhr,рвезе-шамыч мемнан ваштареш толыт.,навстречу нам идут ребята.
mhr,"вӱта омсаже тыге изиш веле уло, тушто рывыж ила, манеш.","дверь в сарай только осталась, там лиса живёт, говорят."
kjh,<вот> iди полча.,вот так бывает.
kjh,"салғанахтар, улицаны ардирға, улицаны ар... арда, аалда арығ тударға.","крапиву, улицу чистить, улицу чисти, чтобы деревню в чистоте держать."
kjh,"[evs1979f] но, піліп алдым ӱр нимес.","[evs1979f] да, я узнала недавно."
xas,"a (dĭ = dĭ=) dĭʔnə naga šində (b-) bădəsʼtə"". ","а его некому накормить""."
bak,"šul kilen höjðörä, nej büläktär birälär.","вот невестку дает приласкать, дарят подарки."
kjh,"прай име оодыл пари, іріктеп пари ам.","всё ломается, сгнивает теперь."
evn,"аӈидӯ, долболтоно [расшифровкадӯ нуӈан гунэн: hактыралдан] истан.","это, вечером [добавлено при расшифровке: стемнело] доехал."
mhr,"как чуть пӧрт лавыран дык,","как чуть в доме было грязно,"
xas,dĭgəttə dʼagarlam. ,тогда накрошу.
kjh,хыс кізі оолғын даа кӧрбин парӌаң ирге.,"девушка выходила замуж, даже не видя парня."
evn,и нуӈан тэгэрэн.,и он сел.
xas,băʔpi da davaj bădəsʼtə dĭ kuzam. ,зарезал(?) её и стал кормить этого человека.
xas,"onʼiʔ măndə:"" măna kuvas šalʼ (ib-) iʔ, i kuvas platʼtʼa iʔ"". ","другая говорит: ""купи мне красивую шаль и красивое платье""."
kjh,"ну сашкадаң сураам, чуртас хайдағ пілдірче че андар.","ну у сашки спрашивала, какой там жизнь кажется?"
xas,dĭ dʼünə saʔməluʔpiʔi. ,он упал на землю.
bak,"šunan qarajəm, tənəs, öjðä ber tawəš =ta juq.","потом смотрю, тихо, в доме ни звука."
xas,"ara bĭʔpiʔi, bar (dʼabrobiʔi). ","они пили водку, дрались."
mhr,"теве ядыкплакыште теве куэр шога <ыле>,",вот около ядыкбеляка стоит березняк —
xas,"kunolzittə axota, dĭ bar büziʔ sʼimabə băzəlia da bazoʔ mĭlleʔbə. ","спать хочется, он водой глаза промывает и дальше ходит."
kjh,"а городтағылар нойма итче, я?","а городские что делают, да?"
evn,"потом, тадук би вертолетыт әла̄ әмәhинәм.",потом я на вертолете сюда прилетела.
kjh,[smm1950f] мама іди дее чоохтабинча аны.,[smm1950f] мама же не таким образом рассказывает ее.
mhr,"[8] ит, ит ӱчаше,","[8] не спорь,"
evn,"и то еще, аӈи, утунилипкӣ до̄ла̄, наверное, утунилиргун.","и то еще это самое, чешется, наверное, внутри чешется."
xas,(dĭ- dĭ-) dĭgəttə sarbiom. ,потом завязала.
xas,lisitsa i (un-) unu. ,лисица и вошь.
kjh,аар тағдың тӧзінде майнагашевтар – піс оларны тіпчебістер мойнахтар – тағ тайыӌаңнар.,у подножия горы аар майнагашевы – мы  про них говорим «мойнахи» (белошеие) – молились горным духам.
mhr,[10f] ларивон вате пеш кертеш!,[10f] жена иллариона может!
kjh,"анаң от саптырза, арағаны мині ӱлетчелер.","потом, когда сено косят, водку меня заставляют разливать."
kjh,"[kau1916f] а ниме, кир кізілер бе?","[kau1916f] а, это, старые люди, что ли?"
kjh,"ікі хызым нимеде тоғынча нізе, «ленин чолында», пу… «хакас чирінде».","две дочери в этом работают, ""ленинский путь"" (газета), это, «хакасская земля»."
kjh,"абам име хазых полғанда, улуғ кізілер, ибіре одырып алып, чоохтасчатханнар.","когда отцы, живы были, старшие люди, сев вокруг, разговаривали."
xas,na što (tă- dĭ-) dĭ (dăreʔ) abi. ,почему он так сделал?
xas,dĭgəttə mĭlem tănan. ,тогда я тебе дам.
kjh,[tna1930f] доярка ла полғам.,[tna1930f] только дояркой была.
evn,эчол биhивун hарэ.,мы не знали.
bak,"tərmašqan jerðä bulɣan tormoš häjbät, ana šulaj.","там, где прилагали усилия, была хорошая жизнь, вот так."
xas,"nada măna bü pʼeštə nuldəsʼtə, a to büzo šoləj. ","надо мне воду на печь поставить, а то теленок [скоро] придет."
mhr,<нрзб> токтарыштыже?,или в токтаре?
kjh,"анаң… мин не, ниме… ноо классха ӱгренгем мин?","потом я только, это, до какого класса училась я?"
mhr,"значит, вы, у вас, три класса только закончили?","значит, вы, у вас, три класса только закончили?"
kjh,"а... выходнойға килгеннер мынзары, я?","а, на выходной приехали сюда?"
kjh,"анаң, ниме, парғанда, нянька идерге парған.","потом, это, когда ехала, нянькой делаться ехала."
bak,"xösäjen awəlɣa qajta =la, ""ülde məna, qolanə məna"" tip xäbär taratəp, kešelär kilep, aləp qajtəp iðriste kümälär.","хусаин вернулся в деревню, рассказал всем новость о том, что, мол, ""умер вот, упал вот"", люди пришли, принесли и похоронили идриса."
evn,нюрма̄чал.,подкрались.
kjh,"а мин… минің стаж парча, тігі, стаж иліг ікі, э-э, иліг ӱс чыл сигіс ай.","а я... у меня стаж идёт, это, стаж пятьдесят два, э-э, пятьдесят три года восемь месяцев."
kjh,"[mvk1924f] я, я, я, я.","[mvk1924f] да, да, да, да."
bak,"bejek taw bašəna menderep malaj... ulən qorban itergä, qorban salərɣa tip äðerlä... halɣan <?> haləp bəsaq menän mujənən kiθäm tihä, mujənə kiθelmäj, bəsaq ütmäj.","поднял на вершину высокой горы, чтобы принести мальчик... сына в жертву, полож... положил, решил ему резать шею, шея не режется, нож не режет."
evn,"амӣнӈаhав аӈилча, логӣлчо, гуннэ:","отец покойный это начал, ругаться стал, сказав:"
kjh,ну.,да.
kjh,прай семьядаң андар чоохтап пирдiм.,о всей семье рассказала.
kjh,"иртен турып алып, ник сағарға парчам.","утром встав, иду коров доить."
bak,"...klavdijanə raja tip kümälär, häm unəŋ ire, майор милиции, unəŋ ulə kolja kön hajən käbergä baralar.","...клавдию хоронят, считая, что это рая, и ее муж - майор милиции, ее сын коля каждый день ходят на могилу."
kjh,ісчезің хардыңа суғ ла ізіп алған чілеп пілдір парча.,"пьешь - в живот как будто воду попила (налила), кажется."
kjh,мағат.,хорошая.
xas,kürleʔpi. ,обернулся [ею].
mhr,"да шестьдесят седьмойышто йӱленна чыла,","а в шестьдесят седьмом сгорели,"
mhr,"вот эту собирали, сушили","вот эту собирали, сушили"
mhr,тушто тек изишак колыштыт.,там пусть послушают.
evn,а этырко̄м гунден:,а мой муж говорит:
bak,"här ber barləqqa bala təwɣas, här ber kešegä, här berehenä =lä, bötäheneŋ =dä käwðähenä üððärenä jendär inep ultəra.","каждый раз, когда на свет рождается ребенок, каждому человеку, каждому, в тело всех (людей) постоянно проникают духи."
xas,dĭgəttə kuliom. ,потом вижу:
kjh,"[vrk1929f] мынартын колхозтаң тизіп, харачул пазынза парыбысханнар, разведкеге чағын андаа парып алғаннар.","[vrk1929f] отсюда из колхоза сбежав, вверх хараджуля уехали, поближе к разведке туда уехали."
xas,i ambiam. ,и съела.
xas,"il iʔbobiʔi, bʼeʔ il. ",десять человек могли лечь.
kjh,"[erk1927f] а-а, пу «ӱӱдағ», тігізі «харағай».","[erk1927f] а-а, это «уудаг», та «харагай»."
kjh,"аны досрочно сдавать, досрочно тутчатханда…",когда досрочно его сдавали…
mhr,[14] марья мӱшкыран кодын.,[14] мария беременна осталась.
xas,a ej bĭtlel dak kondʼo amnolal. ,"а если не будешь пить, долго будешь жить."
xas,na što deʔpiel? ,зачем ты его принес?
kjh,мында хайда-да турча ол.,здесь где-то стоит он.
xas,"a dĭ nʼi kirgarlaʔbə:"" uʔbdaʔ! ","а мальчик кричит: ""вставай!"
kjh,[kau1916f] іди ӧскебіс.,[kau1916f] так мы росли.
kjh,"ол ӱс ахпашев апчахтармаң, ооллары чааға парыбысханнар, а мин олармаң хада тахпы хаптапчабыс.","с этими тремя стариками ахпашевыми, сыновья на войну ушли, а я с ними вместе табак в мешок набиваю."
kjh,и хакасияда поларға.,и в хакасии быть.
bak,"nu, unəŋ batər tügel ikänen... juq, ajaɣən kürhätmäj.","ну, (я знала,) что это не батыр... нет, ногу не показывает."
kjh,"ой, школа ит пирділер, магазин тіп одырчам.","ой, школу сделали, магазин говорю."
kjh,[smm1950f] сірерде нинӌе тырбааннар олар?,[smm1950f] у вас они сколько косили?
xas,da (šereʔ-) šeriem. ,да я стесняюсь.
mhr,"эрден эрак ведаси вӱдварам налын эҥер деке, памаш деке вӱдлан вола улмажын.","рано утром федосья брала коромысло и спускалась к реке, к роднику, за водой."
kjh,"а килгеннеңер суурбаам, тартын на чӧрчатхам…","а как приехала, не снимала, надела и хожу…"
bak,"jäki bešermähälär aləp qajtəp, üððäreneŋ tuɣandarə häm kürše kešeläre menän, jaqəndarə menän šularðə bülešälär.","или если не варят, то относят к себе, и со своими родственниками и соседями, с близкими разделяют это (букв. ""эти"" (мяса))."
xas,a dĭ dibər kambi da bĭʔpi ara. ,а он туда пошел и выпил водки.
kjh,“она сидела” тіпчем “сикала”.,"потом про неё говорят, вот говорят: “у нее даже трусов нет, так ходит”."
xas,măn kambiam dĭzi. ,я пошла к нему.
kjh,[erk1927f] міне мин.,[evs1979f] это в каком году?
mhr,ынде кува лӱдын пытен —,теперь бабка очень испугалась —
mhr,[2] на два года лесоучастоке жили в <нрзб>.,"[2] на два года, на лесоучастке жили в <нрзб>."
mhr,"ялж=, ял кӧргыштак, мом ыштенна дык.","внутри деревни, что делаем."
bak,"vagonetkalar menän estakedalarɣa išew menderä torɣajnəlar kümerðe, min iθläjem äle ošo.","вагонетками поднимали на эстакады еще уголь, я сейчас помню."
kjh,"[smm1950f] <оох-теек, ӧдік алам>.","[smm1950f] мелочь, обувь куплю."
bak,šul nejgä.. fzuɣa jaðəlnihäŋ russa belergä käräk tej inde.,"если запишешься в этот самый, в фзу, надо же, мол, по-русски знать."
xas,tăn vedʼ bile kuza! ,ты ведь плохой человек!
bak,šunan kilep aləp üðebeððeŋ qapqa janəna mašinanə aləp kilep ultərttəm.,потом приехала и рядом с нашими собственными воротами поставила машину.
bak,"äje, iqsan tip jaðəlɣan bənda isxaq tege jaðəlɣan но iqsan tigäne =lä bildäle bulɣan iqsandan səqqan.","да, написано иксан, здесь написано исхак, но еще известно, что его называли иксан, произошли от иксана."
kjh,[evs1979f] мында чалғызан чуртапчазар?,[evs1979f] здесь одни живёте?
xas,măn iamzi ej molam. ,я с матерью не буду.
xas,pežərluʔpi. ,она опухла.
mhr,а пеленетше школышкыжо <иктаж-мом> коштыктенат мо?,а с собой в школу что-нибудь носила?
xas,"dĭm ellil aranə, dĭ nugəj bʼeʔ šide dʼala, dĭgəttə bĭtlel, sĭjdə jakšə molal. ","ее кладешь в водку, она стоит двенадцать дней, потом ее пьешь, и сердцу становится хорошо."
bak,"xolodilynikkä haləp qujðəŋ =da, ana tuɣandarəŋ menän ašajasaq qorban itelgän, nejgä halənɣan nejgä buldə tip.","положишь в холодильник, потом с родственниками, уже предназначенный для еды курбан, хранящийся курбан, этим... положенное этим... уже есть."
mhr,кочкашат пеш йӧсӧ ыле.,питаться тоже было тяжело.
kjh,"[emk1967f] ну, сапсын тогда аны.","[smm1950f] ну этот-то я сама попрошу скосить, пускай косит в другом месте."
xas,"dĭgəttə dĭ găldun (măndəbi):"" dĭ dĭn (e-) enəidənə amnolaʔbə. ","колдун сказал(?): ""это дьявол там сидит."
kjh,шарик ады.,шарик кличка.
kjh,[smm1950f] андох ол… алай пілбинчем паза хайда полған ол.,"[smm1950f] туда же… или не знаю, где еще она была."
mhr,"[15] медпункт нерген, паша нерген мом каласен кертат?","[15] про медпункт, про свою работу что можешь рассказать?"
evn,"би дедушка... ой, амаканун, амӣнун-hэ, би нулгӣсиним.","я [следом] с дедушкой, с отцом аргишила."
xas,bar. ,всё.
bak,"äsäj, ölkän apajəm i beð dürtäw, altə keše jäšänek beð bergä.","мама, старшая сестра и нас четверо, шесть человек мы жили вместе."
xas,(dĭ-) dĭn koʔbdo amnolaʔbə tʼerebgən. ,его дочь живёт в тереме.
kjh,"пір дее, чистое поле.","ничего, чистое поле."
mhr,тунемынам мый пеш сайын.,училась я очень хорошо.
kjh,[smm1950f] людочка…,[smm1950f] людочка…
xas,bos turagəʔ dĭzem bar ibiʔjə. ,из своих домов их забрали.
mhr,"погет гынат, ожнысет гай огыл.","еcли соберёшь, не такая, как раньше."
kjh,"«чё, пілбинчем» теем.","«чего, не знаю», сказала."
bak,[rmm] ike meŋ =dä un ösönsö jəlda beððeŋ awəl ajəq awəl isemen aləp ike jöð meŋ hum грант aldəq.,[rmm] в 2013 году наша деревня получила звание трезвой деревни и получила грант в 200 тысяч.
kjh,[emk1967f] мин андағ мультик кӧргем.,[emk1967f] я такой мультик смотрела.
bak,həjərðəŋ buɣə jata ine inde ður.,"а лежала коровья куча, большая."
kjh,"ам тороков петке булғахтер килтір, «сірер кассет хайдағ-мындағзар» тіпче «ноймаларың пар?","теперь тороков петька бухгалтер пришел, «вы <?> такие-сякие», говорит, «что у вас есть?»"
xas,"dʼăbaktərbibaʔ, dĭzeŋ ĭmbidə ej tĭmneʔi, nuzaŋ. ","мы поговорили, они ничего не знают, камасинцы."
kjh,пістің дее хуже чоғыл.,"даже хуже, чем у нас, отсутствует."
xas,sumna tibizeŋ ibiʔi măn. ,у меня было пять мужей.
kjh,"ол ла олғаннарын азырап, тоғысха ысхлабыс, анаң на азыранып алӌаң полтыр…","только этих детей своих покормив, на работу отправив, потом только ела…"
kjh,анда кічігдең сығара иліг ӱс чылға читіре тоғынғам мин.,там я проработала с малых лет до 53-го года.
kjh,"[mdc1963f] э, наныбысханнар.",[mdc1963f] домой вернулись.
evn,****,****
kjh,а чураң «мегее» тіпче «еще повестка чоғыл» тіпче.,а чуран: «мне» говорит «еще повестки нет» говорит.
kjh,«пу нана кічиӌек кізее пирбе» тіпче.,"«этой нане, маленькому человеку, не давай» говорит."
evn,hама̄н hама̄нилдан.,шаман начал шаманить.
mhr,"ала-молан, ала-кузе,","почему-то, как-то,"
xas,parluʔpiʔi nükenə. ,вернулись к женщине.
mhr,[2] покро деч вара кумалтышым ыштат.,[2] после покрова проводят моленье.
xas,a măn kirgarlaʔbəm. ,а я кричу.
xas,kambiʔi dʼijenə. ,пошли они в тайгу.
evn,****,****
kjh,хазах кип-азах киспеӌебістер тойда.,русскую одежду на свадьбу не надевали.
bak,"ataj higeð jäšendä ike qustəhə menän =genä atajhəð qalɣan, äsähe menän.","отец в восемь лет только со своими двумя младшими братьями остался без отца, с матерью."
kjh,школа чоғыл.,школы нет.
bak,"jäkšä… düšämbe или joma... обязательно šulaj joma или düšämbe, вот.","воскре… понедельник или пятница... обязательно, значит, пятница или понедельник, вот."
kjh,"чахсым арғызым тоғынзабыс, часкалығ хоных пик полче-й.","когда с хорошим другом работаем, счастливая жизнь крепкая бывает."
kjh,[mvk1924f] аныбаң чунӌаң оңнапчам.,"[mvk1924f] ею стирали, помню."
bak,"bəl xatən, belmägän xatən, tanəš tügel, абсолютно tanəš tügel bit inde, torðo =la inde, vis bötön jergä šəltərata.","эта женщина, незнакомая женщина, не знакомая, абсолютно не знакомая женщина ведь, стоит и всем звонит."
