id,lang,source,translation
12600,bak,"qojaš töšöp böttö inde, tuðəp bötöp bara, šulajraq buldə.","на солнце выгорел, износился, как-то так было."
12601,xas,"esseŋ dăk esseŋ, (если) dʼabrolaʔbəʔjə, (ba-) bazoʔ sʼarlaʔbəʔjə. ","дети - это дети, если и подерутся, [потом] опять играют."
12602,mhr,мо годымет э-э,во время этого…
12603,bak,[mtsb] ikmäkte beð öjðä bešeräbeð.,[mtsb] хлеб мы готовим дома.
12604,xas,xarʼuzəʔi. ,хариусы.
12605,xas,"kulaːmbiam, (ku-) kuzittə možnă, ipekziʔ naga. ","я умерла, умереть можно, [если] нет хлеба."
12606,mhr,анисолашкат миенам.,и в анисолу ходила.
12607,kjh,анаң маманаң парып сурапчатпас па «хайдағ машина полған?»,потом у мамы пошла спросить «какая машина была?»
12608,mhr,"[14] терысым чыла луктыт ыле пас= пакчаш, пасушко.","[14] навоз весь вывозили на огород, на поле."
12609,evn,эмэрэ-дэ̄ удялӣн.,приехали по следу.
12610,bak,"qajnə nejðä ešlägän, ul beððeŋ qajnəm bula inde atahə qajnəm bula bit.","свекр где-то работал, он наш свекр это же его (насипа) отец, свекр же."
12611,xas,krasnojarskəʔi turaʔi jaʔleʔbəʔjə. ,в красноярске дома стучат.
12612,evn,****,****
12613,mhr,"шешке эмым йодын пуыш, да","сноха купила лекарство,"
12614,mhr,"тудо колен уже давно,","она уже давно умерла,"
12615,kjh,"та хызырарға ағылған ол аны, сӧктеп алып прай.","укоротить, что ли, принесла она её, распоров всю."
12616,bak,"ike meŋ же, это же большие деньги.","две тысячи же, это же большие деньги."
12617,xas,bostə kem šĭketsiʔ amnaʔbə. ,и языком кровь слизывает.
12618,xas,"""dĭ ugandə pimnie. ","""она очень пугливая."
12619,kjh,вот хорығып одыр.,вот бойся все время.
12620,kjh,"хайди… ну, горбачев тартча, горбачев тартчанда, чалғысхан автобус тартча.","как… ну, горбачев возит, когда горбачев возил, один автобус возит."
12621,evn,"потом дэлкэндӯи, эевэл гада̄и, туктысо бисё.",потом на лабаз что-то взять залез.
12622,mhr,"[2] ай, нуно почеш йӱаш толынут вет,","[2] это ведь они приезжали вслед за свадьбой,"
12623,kjh,"а может, палалары анда полар тіп.","а может, детёныши там."
12624,xas,"""no, it kujnek! ","""ну, бери рубашку!"
12625,bak,"[ksg] nu qəð keše, qəð keše təwha, berense balaŋ qəð keše bulha, hin bulahəŋ bäxetle, tejðär, täwgä balaŋ qəð bulha, bäxetle bulahəŋ, tejðär inde.","[ksg] ну, девочка, если родится девочка, если первым твоим ребенком будет девочка, говорят, что ты будешь счастливой, если сперва у тебя ребенок будет девочка, говорят, будешь счастливой."
12626,evn,тогда варак гунденэ:,тогда враг говорит:
12627,xas,"""davaj"". ","""давай""."
12628,kjh,[evs1979f] печеньнең.,[evs1979f] из печени.
12629,evn,"hутэлви девдо̄тын, тар дюгудевкӣ бисё тар киӈгит.",тот кингит приносил детям поесть.
12630,mhr,монденам мый тидыжым.,забыла я это.
12631,mhr,"толынна тышке, тышке токтарыш толынна первыяк.","приехали сюда, в токтар приехали сначала."
12632,evn,а орор тоже ӈэ̄лэлчэ̄л бипкӣл.,олени тоже испуганные были.
12633,kjh,«ағазахтығ хыс».,«девочка с палочкой».
12634,xas,măna dĭzem ej kereʔ. ,мне их не надо.
12635,kjh,"[evs1979f] анда кізі кӧп чуртаан ма, тура кӧп полған ма?",[evs1979f] там много людей жило? домов много было?
12636,evn,"толгокӣдуктэпи юм, амӣ нёгую уитчэнман пока.","я вышла из своих санок, пока отец привязывал передового оленя."
12637,xas,"üjüʔi"". ","ноги""."
12638,mhr,[15] вара мо?,[15] ну и что?
12639,xas,taldʼen măn meim ej kalladʼürbi maːʔndə. ,вчера моя невестка не уехаа домой.
12640,xas,"a kuza kubi, măndə:"" oj, aspakdə!"" ","а человек увидел и говорит: ""ой, котел!"
12641,evn,пустырэ нуӈанман.,отпустили его.
12642,evn,илда.,встали.
12643,bak,sögön hawəttarða beräj säɣättän ašəw qajnatqandar =ða häm unə uttan alɣandar.,в чугунных казанах чуть больше часа варили и его с огня снимали.
12644,xas,"""ĭmbi šobial?"" ","""почему ты пришла?"""
12645,bak,"min nej уже min nej уже bar... baram tip =tä öndäšmäjem, mine alam tigän keše =lä juq bit inde.","я это... я, это, уже и не должна отвечать, что пойду, (потому что) никто и не говорит, что меня берёт."
12646,xas,"i măn ilim"". ",и я возьму».
12647,kjh,"а пу чыланнығ полбаан, ады «буденный» колхоз полған.","а это не были чиланы, название «буденный» колхоз был."
12648,kjh,"ор ікі пістің хорыхса же, ниме полабыс па хараа теербенге киліп алып?","если вдвоем будем бояться, как нам быть ночью, приехав на мельницу?"
12649,kjh,"[vtt1937f] а, но. а так пожилых-то людей не осталось мында. а…","[vtt1937f] а, да. а так пожилых-то людей не осталось здесь. а…"
12650,kjh,[erk1927f] міне миша туңмам.,"[erk1927f] вот миша, братишка мой."
12651,bak,häm məna ajða köjäntä menän aj zöxrä torɣan ti.,и вот на луне стоит зухра с коромыслом.
12652,xas,kem. ,кровь.
12653,kjh,[mdc1963f] а таштыпсар хайдар-да чӧртір ол.,"[mdc1963f] да, к таштыпу куда-то ходил."
12654,xas,šide kuza nugaʔi măjagən. ,два человека стоят на холме.
12655,mhr,да вара мочашкет каем кок тоя ден.,потом иду в баню с двумя палками.
12656,xas,i (iʔbəʔi-) iʔpiʔi kunolzittə. ,и легли спать.
12657,xas,"dĭgəttə šonəga, šonəga. ","идет, идет."
12658,mhr,пӱя гоч,через пруд
12659,kjh,олар кӱстӱг кізілер полған.,они сильные люди были.
12660,mhr,[14] мыйже тылат ойленам.,[14] я тебе рассказывала.
12661,mhr,[1] а откуда ж он о вас знал-то?,[1] а откуда ж он о вас знал-то?
12662,kjh,[smm1950f] хайдаң алған сурап аларзың?,"[smm1950f] спросишь, откуда взяла?"
12663,kjh,[evs1979f] а-а.,[evs1979f] а-а.
12664,mhr,"кугу почто воктен ыле медучилищыже, палет, наверно,","возле большой почты было медучилище, знаешь, наверное,"
12665,xas,"kulambi; dĭʔnə maʔ abiʔi, i dʼü tĭlpiʔi, krospaʔi abi. ","умер; ему гроб сделали, выкопали землю, крест поставили."
12666,bak,jörögän jörögän =da aðašqan bəl.,он ходил-ходил и заблудился.
12667,xas,"da măna dĭn amnoluʔluʔjə"". ","они меня съедят!"""
12668,kjh,[evs1979f] палалар табырах ӧсче.,[evs1979f] дети быстро растут.
12669,xas,"păzaʔ (хорошенько), kĭškit! ","мойся хорошо, трись."
12670,bak,"babaj donjanə tašlaɣan, ülep kitkän.","старик оставил мир, умер."
12671,mhr,шорын колтымешкем лӱдынам.,я до усрачки испугалась.
12672,mhr,пеш шукерте ожно,очень давно
12673,xas,"amnəbi, dĭgəttə dĭ deʔpi. ","он сел, тот его довез."
12674,kjh,"ол чаада халған, анаң…",он на войне погиб. потом…
12675,xas,"dĭgəttə dĭ šide, nagur (ilie). ","тогда он берёт два, три."
12676,kjh,"«ол хамнаан соонда, пала узӱ пирген» тіпче, «истіг пол парыбысхан».","«после того, как он пошаманил, ребёнок уснул», говорит, «спокойно стало»."
12677,xas,"dĭgəttə nüket bar davaj tʼerməndə kurzittə, blinʔi, pirogəʔi. ","тогда жена стала мельницу крутить, [делать] блины, пироги."
12678,mhr,ну тожо нужда ӱдырым силом пуэнут.,тоже как бедную девушку насильно её выдали.
12679,evn,место ая тоже.,место хорошее тоже.
12680,mhr,[15] специалистом.,[15] специалистом.
12681,xas,"dĭzeŋ (ka-) kambiʔi onʼiʔ dibər, baška döbər. ","они пошли, один туда, другой сюда."
12682,bak,"ul uraða bajramənəŋ... bötä... aš həw bulərɣa teješ, itle aš jäki beððeŋsä bišbarmaq.","этот праздник уразы... весь... должна быть приготовленная пища, мясная еда или по-нашему ""бишбармак""."
12683,kjh,"[evs1979f] чіт парған, я? айланмаан?","[evs1979f] пропал, да? не вернулся?"
12684,evn,"индисо̄тин дуктэ.
				",жили они вдвоем.
12685,kjh,ам анаң андағ ол чаа тузында чаблах хурғатхабыс.,потом так во время войны картошку мы сушили.
12686,evn,ама̄ка̄тка̄нмэ hуюкуко̄нмэ дявудеча̄тын.,они поймали маленького медвежонка.
12687,evn,эрэ ганалчил эмэсолдо̄.,вот стрелки пришли.
12688,mhr,мый уже тӱҥалам пидаш.,я уже начинаю вязать.
12689,bak,"öj hajən šunə qaranəlar, ültermänelär, huɣəš jələ, siratlap.","за ним все (букв. ""каждый дом"") присматривали, не давали ему умереть, во время войны, по очереди."
12690,evn,эдын hукугичо нуӈаригитын.,ветер стал отворачиваться от них.
12691,xas,ĭmbidə ej nörbəlat măna. ,ничего мне не говорит.
12692,kjh,[egs1982f] а... чох. он пір класс тоозар.,"[egs1982f] нет, она закончит 11-й класс."
12693,xas,büzo turagən nuga bar. ,теленок находится в доме.
12694,kjh,ам ол тоже сайал парған.,теперь она тоже разрушилась.
12695,xas,"a to dʼagarləj (bostə=) bostə себя"". ","она может воткнуть в себя нож""."
12696,kjh,хайдағ хатығ время полған.,какое жёсткое время было.
12697,xas,amnobi pĭnzə. ,жил змей.
12698,xas,tăn ulum. ,ты там был.
12699,bak,ul könö bujəna joqlap tik jatqan ti.,он целыми днями только спал.
12700,bak,šan baldarðə äðäm ittem.,потом вывела детей в люди
12701,xas,kabarləj. ,все.
12702,kjh,а оларға как раз ікі пызаа пиргем хыстат пирзіннер тіп.,"а им как раз двоих телят дала, чтобы перезимовали."
12703,kjh,[smm1950f] <?> пултахтың покозында чистек <теерерге> надо.,[smm1950f] на покосе пултаха землянику собирать надо.
12704,xas,suʔmileʔbəm bar. ,танцую.
12705,xas,"dĭgəttə kanaʔ teʔme iʔ, i ăgărottə kanaʔ i dĭn (e-) (edəʔleʔləl)"". ","потом пойти, возьми веревку, иди в огород и жди(?) там""."
12706,kjh,"но анзына чахсы, я?","но этим хорошо, да?"
12707,kjh,[evs1979f] тувада полғазар?,"очень хорошая фот… молодые, ещё замуж, это, не вышли."
12708,xas,a măn bar dʼăbaktərlaʔbəm. ,а я говорю.
12709,evn,ēкур илкэ̄ндекисилтын?»,чьи это зарубки?»
12710,evn,"ахал надан толгокӣтын бифкӣл, бэйэлңӣл дяндук дюрэ, дяндук илан бинэл.","у женщин семь саней грузовых было, у мужчин двенадцать, тринадцать было."
12711,evn,"эя-вэл, ēкуӈан биноро? — гунденэ, никосо. —","кто, откуда могут быть? — вот он говорит. —"
12712,kjh,"ам, мин килгендох, чӱрче полғандох, тоғысха парыбысхан.","теперь, когда я только приехала, немного побыл, на работу уехал."
12713,xas,dĭgəttə dĭ šobi. ,потом он пришел.
12714,kjh,"[vtt1937f] я, колхоз тузында, ниме, ол полған хайда-да хырых сигіс, иліг чыллар, аннаң пеер алдыра.","[vtt1937f] да, во время колхоза, это, это было где-то сорок восьмой, пятидесятый годы, с тех пор."
12715,mhr,"я егорьевским-то три раза была да,","я в егорьевске-то три раза была,"
12716,xas,nuldliel mĭndərzittə (m) kös (ej=) ej păʔlia dibər. ,"ставишь варить, и уголь туда не лезет."
12717,xas,dĭgəttə sʼimat ĭmbidə ej moliaʔi. ,ее глаза ничего не могут [видеть].
12718,xas,a iʔgö dĭn sanəʔi. ,там много орехов.
12719,kjh,анаң ол чоохтапча абамға хайди хамнапчанын.,"потом он рассказывает моему отцу, как шаманит."
12720,mhr,"максымже вет кугу ыле, мемнанже изи ыле.","максым-то [максим-то] был постарше, наш-то моложе был."
12721,kjh,ниме чіӌеңзер?,что вы ели?
12722,kjh,"[evs1979f] чӧрбинче, но, автобус пеере, но.","[evs1979f] не ходит, да, автобус сюда, да."
12723,xas,"iʔbolaʔbə dăk, üdʼüge tospaktə. ","когда лежит, она меньше кошки."
12724,kjh,"чон хайди астапча, я.","народ как голодает, да."
12725,kjh,"[tna1930f] много, кормить надо оларды прай, азыри кирек.","много, кормить надо их всех."
12726,xas,"nu idʼiʔeʔe, kabarləj. ","ну, немножко, хватит."
12727,bak,"beð ""inäj"" menän, ""inäj"" tip... tip... ""inäj"" tip äjtälär äsäjemdeŋ jäki atajəmdəŋ ölkän apahən inde, apajən äjtäbeð.","а мы [словом] ""иняй"", ""иняй""-мол... мол... ""иняй""-мол называют старшую сестру, сестру матери или отца называем."
12728,evn,чокна̄стэв чаӈиттула̄.,пошли убивать к медведю.
12729,mhr,"вы не возражаете, что я использую эту запись,","вы не возражаете, что я использую эту запись,"
12730,kjh,ипчізі… анна павловнаның хызынмаң чуртапча ол.,жена… с дочерью анны павловны живёт он.
12731,kjh,"[mvk1924f] а ам… мин ам ол тигір ибее кірбедім пір дее, оңнабинчам.","[mvk1924f] а теперь… я теперь в эту церковь не заходила никогда, не знаю."
12732,bak,häm besäj səsqan saqərɣan.,и кошка позвала мышку.
12733,xas,ĭmbidə amzittə ej mobi. ,ничего есть не мог.
12734,kjh,"э-э, инородецтер тіӌең полбадылар бе зе.","э-э, инородцами называли же."
12735,xas,dĭgəttə ibi ăprosʼa. ,потом была фрося.
12736,mhr,[8] конечно!,[8] конечно!
12737,mhr,тӱрлым шарненна:,разное вспоминали:
12738,kjh,"и погода даа най матап изменяться пол парды, ниме ит парған.","и погода также очень сильно изменилась, это сделала."
12739,bak,[s2_unknown] baškirskijmə unəqə?,[s2_unknown] башкирский у него?
12740,mhr,марлан толынам да,"замуж вышла, и"
12741,kjh,андарох <азахча> тоғынча ідик.,туда же <?> если работает.
12742,evn,эртыкӣ амутка̄н хэгдыӈэ ичэбдепкӣ.,туда озеро большое виднеется.
12743,evn,hуливун о̄дан.,все стало.
12744,evn,"тар бэе яӈу яӈуракин, тоготын hиӈкэвкӣ бисё... hиӈкэрӣдевкӣ.","когда тот человек говорит, у них трещит огонь."
12745,kjh,"ол агаяның чоо… чооғы, тың ӱр иместе истім мин аны, пылтыр ла.","эту речь агаи, недавно слышал я её, в прошлом году только."
12746,xas,"a iam măndə:"" kanaʔ, dĭn tüžöj ige, i ine ige, i ipek iʔgö"". ","а моя мать говорит: ""иди, у него есть корова, и лошадь, и много хлеба""."
12747,mhr,и пасуэш тудо йоча азам ыштен мемнан тереш.,"и в поле она родила, на санях."
12748,evn,тунӈа метрит тариӈитын буручо бичо.,в пяти метрах он упал.
12749,kjh,"пірсі койка ӱстӱнде тӱс халтыр, пірсі пулуңда чатча, пірсі стол алтында кір партыр.","один оказался под кроватью, другой лежит в углу, еще один залез под стол."
12750,xas,măn nʼiʔdə kallam! ,я выйду на улицу.
12751,mhr,"чодырам руэн улына,","лес рубили,"
12752,xas,"""kažnej dʼala kujneʔi toʔbdə šerdə. ","""каждый день надевай новую рубашку."
12753,xas,a tăn măna măndərlal. ,"а ты будешь меня искать!"""
12754,xas,"embiʔi köstə zălanə, (dĭgit-) dĭn … ","клали в угли, в золу, туда…"
12755,mhr,"[10f] ну-ну, съела, да?","и крапиву ела, и лебеду ела."
12756,kjh,"доярканаң килчем, доя... ник саарға парчам, тяпканы піди хазап салчам, чтоб ағаа кӧрінмес иде, анаң ӱӱпчем.","прихожу из доярки, доя... иду коров доить, тяпку так воткну, чтоб её не видно было, потом окучиваю."
12757,xas,"kangaʔ maʔnə da (măndlaʔ-) mănaʔ ianə"". ","идите домой и скажите матери!"""
12758,evn,тадук hама̄н тэгэрэн.,потом шаман сел.
12759,xas,deʔpi čulkiʔi. ,принес чулки.
12760,kjh,"а позы талаптыр ол тонны, ниме.",а сама порвала эту шубу.
12761,kjh,[emk1967f] тағ ээзілерін кӧрӌең полтырлар же?,[kam1926f] вон там.
12762,evn,сура бичо̄н.,шура была.
12763,xas,amnəbi urgaːbanə. ,сел на медведя.
12764,kjh,"мин ползам, председатель ползам, <?>","если бы я была, преседателем была бы, <?>."
12765,kjh,[evs1979f] суулирға чаратпаӌаң анда.,[evs1979f] не разрешала шуметь там.
12766,bak,"[mfsb] häjbät jäšägän ɣailälärgä šul jendärðe jebärälär, tej inde.",[mfsb] хорошо живущим семьям якобы посылают чертей.
12767,evn,хорошо...,хорошо...
12768,evn,илкэ̄ндулӣтын hурукэл».,иди по их зарубкам».
12769,xas,"(dĭ-) kamen dĭzeŋ amnobiʔi, tʼegermaʔ nagobi. ","когда они жили, цервей не было."
12770,xas,"kuliat, dĭn iʔbəlaʔbə iʔgö aktʼa. ","увидел, что там много денег лежит."
12771,xas,"kanžəbaʔ pĭdesʼtə, a to šišəge moləj, все равно miʔnʼibeʔ nada pĭdesʼtə. ","пойдем (…), а то холодно станет, все равно нам надо (…)."
12772,kjh,"тура ӱстӱнде, ікі хати кӧйген аның тура, тамахмаң ла.","на крыше, два раза горел его дом с зерном."
12773,xas,"sʼeldə ibi, uja ibi. ","взяла жир, взяла мясо."
12774,mhr,"изорвам пуыш,","тележку дал,"
12775,kjh,ам хайди сарнирға?,теперь как петь?
12776,xas,kola (dʼabəzittə). ,рыбу ловить.
12777,evn,****,****
12778,xas,"nu, mĭʔ măna kažnej dʼala. ","""ну, давай мне каждый день""."
12779,evn,хоӈкэтчэнтэӈап всех ??.,???
12780,xas,"""tăn padʼi amorzittə kereʔ. ","«ты, наверное, есть хочешь."
12781,kjh,"[zgb1935f] за горой у колодца, где студеная вода-й,",[zgb1935f]
12782,bak,"и waqət ütkäs bəl ike jen awəlda ber berehe menän osrašqandar, tej inde.",и через некоторое время эти два черта в деревне якобы встретились друг с другом.
12783,kjh,"айахха суғ урыбысханда, блюдцені унзар таа урыбысхан, пылғаан-пылғаан, кӧрчем мин аны, анаң кастрюльде салыбысхан.","когда она в чашку воду налила, блюдце в муку же вылила, мешала-мешала, смотрю я на это, потом в кастрюлю положила."
12784,kjh,[vrk1929f] нойманы?,[vrk1929f] про что?
12785,xas,iʔ kudonzaʔ. ,не ругайся.
12786,kjh,[evs1979f] піске тадар тілінең чоохтанарға кирек.,надо на хакасском языке.
12787,kjh,"аны, хайлап, саапчаттыр нізе.","на нём, исполняя хай, играет ведь."
12788,xas,"a nulaʔbə dăk ugandə urgo, urgo inetsi. ","а когда стоит, то больше лошади."
12789,kjh,"анаң ідох ле тартчам, ну олармаң хада учительлер полған.","теперь также пашу, ну, с ними вместе учителя были."
12790,kjh,"«талаан ползын» тіпче, «тооза чонға хынарзың» тіпче, «кізі сӧклебессің» тіпче, я.","«пусть будет удача» говорит, «когда весь народ будешь любить» говорит, «никого не будешь обзывать» говорит, да."
12791,xas,dĭgəttə… ,потом…
12792,kjh,"анаң рынок тігде ол пожарка хыринда, ой хайдағ ырах.","потом рынок там возле пожарки, ой, как далеко."
12793,kjh,"ударник даа тоғынғам, книжкаларым пар.","ударником даже я была, книжки у меня есть."
12794,xas,a uzdat ugaːndə kuvas. ,а уздечка очень красивая.
12795,mhr,"а мый, ӱдырамаш-шамыч,","а мы, женщины,"
12796,kjh,анартын ах ла халаттығ ир кізі кір килді.,оттуда в белом халате мужчина зашел.
12797,kjh,"име, чайлар ӱзерге тіп чи, сыбырғы хазыңнаң, сыбырғы идіп аларға тіп.","это, чтобы чай нарвать, веники из берёзы, веники чтобы сделать."
12798,xas,nada jakšə sʼarzittə. ,надо хорошо играть.
12799,kjh,"ирім сигіс пала азыраам, декретке парғам тӧрт айға.","с мужем восемь детей выкормила, в декрет уходила на четыре месяца."
12800,xas,"măn amnolam, (nulam): ",я буду сидеть и распоряжаться(?):
12801,kjh,"иннокентий васильевичке, апчағымға, толар пис чыл ам пис октябрьда, ӱреп.","иннокентию васильевичу, старику моему, будет пять лет теперь пятого октября, как умер."
12802,kjh,[evs1979f] адайах.,[evs1979f] собачка.
12803,xas,"nʼe nada tojirzittə, a to ej jakšə moləj. ","не надо красть, а то плохо будет."
12804,xas,(sön) kuʔpiam. ,я убил оленя(?).
12805,kjh,[evs1979f] а мында тағ-суғлар аттарын пілчезер мында ибіре?,[evs1979f] а здесь названия гор-рек знаете вокруг?
12806,bak,"keše joqlar aldənan =da, joqlaɣanda =la üðeneŋ allaɣa tapšərəp joqlarɣa teješ.","человек перед сном, а также во время сна, должен поручить себя аллаху."
12807,mhr,"и мыйын толаш логалын тышке, старый торъялышке.",и мне пришлось переехать сюда в старый торъял.
12808,xas,i (kubiʔi-) kubazaŋdə abiʔi. ,и выделывали шкуры.
12809,xas,"ej mĭlie măna togonorzittə, măn bi̮ togonorbiam, a dĭ üge (puʔlaʔbə) măna. ","не дает мне работать, я бы работала, а он(а) вечно мешает мне."
12810,kjh,[zgb1935f] а синің ирің хайдағ?,[zgb1935f] а у тебя муж кто?
12811,xas,"""no, tenöluʔpil?"" ","""ну, ты подумала?"""
12812,evn,бэе бэе гиркӣн одяӈа̄с.,будешь другом человека.
12813,xas,dĭgəttə pʼeš (ĭmbi dĭʔnə) ej mămbi. ,печь ничего ей не сказала.
12814,kjh,[evs1979f] пыдырахта.,[evs1979f] в бутрахтах.
12815,evn,ойин hарикталча.,над ним начал парить.
12816,kjh,"иліг тӧрт чылда таскараков предс… правление колхоз совхозта полған, управ.","в пятьдесят четвертом году таскараков предс… в правлении колхоза, совхоза был, управ."
12817,mhr,"вара киноаппаратетым торъялыш ныҥгаенам,","потом киноаппарат в торъял увезла,"
12818,xas,dĭgəttə (šidegöʔ nuzaŋ a-) šidegöʔ nuzaŋ iləʔi onʼiʔ onʼiʔtə. ,потом оба камасинца хватаются друг за друга.
12819,mhr,говорили по-нашему-то,говорили по-нашему-то
12820,mhr,"да эше могай гына шога, палет?","да ещё как она пляшет, знаешь?"
12821,evn,"«мо̄ла, мо̄ла [при.расшифровке:гэнно̄кэл]!»","«дров, дров [принеси]!»"
12822,kjh,"[mvk1924f] хайнадыбысчазың, сарығ арах пол парча.","[mvk1924f] прокипятишь, она желтоватой становится."
12823,evn,то̄лӣ эдӯ бисён совhоз.,тогда здесь был совхоз.
12824,xas,măn dĭgəttə sĭreʔpne embiem i keʔbde embiem. ,потом я положила сахар и ягоды.
12825,xas,pimnieʔi (dĭʔə) dĭzeŋdə. ,боялись их.
12826,xas,"dĭgəttə ertən uʔbdəbi, (büzʼen-) büzʼenə măndə: ","потом утром она встала, говорит мужу."
12827,mhr,"вот шочшо-шамычымат тыгак туныктенна,","вот и детей [мы] так же научили,"
12828,kjh,[evs1979f] огородта ниме салчазар? ӱӱӌікте чи?,[evs1979f] в огороде что сажаете? в огороде-то?
12829,xas,tuj iššo ige. ,сейчас еще есть.
12830,mhr,август тылзыште кодшо ийын.,в августе месяце прошлого года.
12831,kjh,[erk1927f] оградада.,[erk1927f] во дворе.
12832,kjh,[zgb1935f] хай на сарнап пирем?,[zgb1935f] которую мне спеть?
12833,kjh,"[sjt1964f] а ваша семья всю жизнь здесь, вы всю жизнь в казановке живете, да?",
12834,kjh,мин сағынғам олар килділер хатап машинаға турыбысханда.,"я думала, что они приехали снова, когда машина остановилась."
12835,kjh,аӌа іди полтырохчых.,дядя так же был.
12836,mhr,"нуно каят, мыйым огыт кычкыре лӱмын, воштылын огыт кычкыре.","они уходят (в школу), меня не будят специально, смеясь, не будили."
12837,kjh,"ол выслуганы ниме-де читсе, вообще педагогический стаж прерываться полбасха кирек же.","эту выслугу если хочешь сделать, педагогический стаж прерываться не должен."
12838,mhr,"ой, йӧршын ом шинче.","ой, совсем не знаю."
12839,kjh,"и, ниме, прай нимелер алып алтыр, медальлар анда хайда-да, значоктары.","и, это, все вещи забрал, медали там где-то, значки."
12840,kjh,ӧдіктер чоғыл.,обуви нет.
12841,bak,"no dürtense klastə bötörgäs beð ešlänek inde, besän saptəq.","ну, после четвертого класса мы работали, косили сено."
12842,mhr,"«а-а, павыл, мане, куватым ала-гуш черкышке кумалаш колтен отыл,","«а-а, павел, ты жену куда-то в церковь молиться не отпустил,"
12843,xas,"a dĭ nüke măndə:"" iʔ šamaʔ!"" ",а жена говорит: «не ври!»
12844,mhr,а тунам пеш тамле ыле вет.,а тогда ведь очень вкусная была.
12845,kjh,"«ну, атонча апчах, харбиӌа апчах», олардың аттарын адағлап алып, «ӱрбекей апчах, алтонар азыра полған полар-а» тіпчем.","«ну, атонча старику, харбича старику», их имена назвав, «урекей старику, всем больше шестидесяти было, наверно» говорю (я)."
12846,kjh,"хой хадарчатса, пастап таап алғабыс.","когда овец пасли, первый раз нашли мы."
12847,kjh,сеек-сеек там делают и там делают.,
12848,kjh,"[rva1973f] кем ол аалда… ну, иң не пастыр тӧстеен?",[rva1973f] а кто первый эту деревню основал?
12849,xas,măn abam albuga … ,мой отец соболей…
12850,kjh,[emk1967f] ах ниме ле.,[emk1967f] что-то белое.
12851,xas,"""iʔ tʼerməndə i kanaʔ (döʔə döʔə=) döʔnə!"" ","""возьми мельницу и иди отсюда!"""
12852,kjh,"сагалаков, кем, саша милициее чё хоптабыстыр, что мяяң мӧӧт чіт парған тіп.","сагалаков, этот, саша милиции что донёс, что мой мёд потерялся."
12853,xas,"dĭgəttə volk šobi, (kul-) kuliot: dĭ iʔbolaʔbə. ","волк пришел, смотрит: [иван-царевич] лежит."
12854,kjh,чоохтап пиріңер.,расскажите.
12855,xas,ajəndə tondə kuʔpiʔi. ,[его] убили около двери.
12856,bak,uttan alaŋ =da qorotto... sögön hawəttarða qajnatqandar.,когда достаешь из огня курут... bарили в чугунных казанах.
12857,mhr,мыйже эше мочевой пузыретым ончыктынем ыле.,я ещё хотела показать мочевой пузырь.
12858,kjh,ир пала нойма?,сын-то что?
12859,mhr,[15] корныштыжак.,[15] по дороге
12860,xas,dĭn koʔbdo maluʔpi. ,у него дочка осталась.
12861,xas,малина amnolbiʔi. ,малину посадили.
12862,kjh,"ол іӌемнің, тігі… хой хадарӌаң полған ол ипчі мында.","она мамы, это… овец пасла эта женщина."
12863,evn,"«hатанава эр, — гусё, — элэвэл биӈнэдерэ», — гунденэ.","«черта этого, — говорит, — какие-то бывают»."
12864,kjh,[avd1959f] я.,[avd1959f] да.
12865,evn,"би, куңакан то̄лӣ, аминми луху бэлэдеңкӣф.","я, ребенок тогда, отцу своему всегда помогал."
12866,xas,"dĭn bar šü, bar piʔi, bar grozaʔi. ","там огонь, камни, грозы."
12867,xas,multuk izittə nada. ,ружье взять надо.
12868,xas,tolʼkă šide kola (miʔ-) miʔ (dĭn). ,только два [вида] рыбы у нас там.
12869,mhr,вара семьдесят второй годышто мемна.,потом в семьдесят втором мы.
12870,evn,дядяв ёкэллэн:,дядя закричал:
12871,bak,kiskelekkä jatabəð ður sarafandarəbəððə kejäbeð =ðä bašəbəðɣa bigudilar taɣabəð =ða joqlarɣa jatabəð inde.,"вечером ложились... надевали большие сарафаны, на голову нацепляли бигуди и ложились спать."
12872,kjh,кинетінге ле пу харағым чох пол парыбысхан.,резко этот глаз исчез.
12873,evn,****,****
12874,bak,"üðemä ošo hönär oqšaj, šul balalar menän törlö мероприятие... meroprijatijelar ütkärew.","мне нравится эта профессия, вот с детьми всякие мероприятия проводить."
12875,kjh,покров пу нимеде... туразында.,"покров(?), в этом, в доме."
12876,mhr,тыге ончыктышым да,на меня посмотрел и —
12877,kjh,анда покос полған пістің.,там покос был наш.
12878,bak,"""äj ajqajəm ajqajəm mine üðeŋä alø inde"".","эй, лунушка, лунушка, меня к себе забери."
12879,xas,ujubə sarbi. ,он связал ей ноги [=стреножил].
12880,kjh,анаң еще чаблағың чӱктеніп алчазың анда хада.,потом ещё картошку (свою) взваливаешь на себя там тоже.
12881,xas,"sĭre bar kăndlaʔbə, i dʼü kăndlaʔbə, bar … ","снег замерзает, и земля замерзает."
12882,mhr,"[1] так, ну ещё раз скажите мне, не возражаете ли вы, что я всё, что вы рассказали, покажу, расскажу, поделюсь с другими людьми?","[1] так, ну ещё раз скажите мне, не возражаете ли вы, что я всё, что вы рассказали, покажу, расскажу, поделюсь с другими людьми?"
12883,xas,onʼiʔ kuza onʼiʔ kuzanə bar ipek nendəbi. ,один человек у другого все зерно сжег.
12884,xas,i kunolbiʔi. ,и спали.
